start	end	text
0	9720	Hello and welcome back to the Python Core and Applied Concepts.
9720	16880	In this video we will talk about the very basics of Act of Programming.
16880	22840	So we will try to understand the Act of Programming by asking some very basic questions around
22840	24760	this.
24760	31960	For example, let's try to understand and try to understand and answer this first question
31960	36040	which is why do we write programs?
36040	40640	So I mean if you think carefully why do we want to write programs?
40640	44840	So we want to write programs to get some work done.
44840	50240	So when we say we want to get some work done, we mean we want to get some computational
50240	53720	work done by some machines.
53720	56840	So that's why we want to write programs.
56840	64280	Normally those tasks for which you want to write programs should be doable manually.
64280	68560	You should be able to, let's say if there is no computer or no machine available to
68560	74680	you, you should be able to write mechanical procedure or you should be able to do that
74680	79000	computation manually using pen and paper also.
79000	87280	So since these manual process may be very tiresome, they may be very cumbersome, exhausting
87280	91520	and monotonous, not so interesting act.
91520	97800	That's why we normally want to relegate this kind of activity of computing some functions
97800	107640	or some output that you want to compute based on some, let's say data, you want to relegate
107640	109960	these kind of things to computers.
109960	115520	So I mean we want to write program because we want to relegate these somewhat mechanical
115520	121280	and boring task to machines which can, you know, perform maybe these tasks in a much
121280	127960	faster way than a human can do and also, you know, in a more precise way, it can calculate
127960	129640	those things that we wanted to produce.
129640	131440	So that's why we write program.
131440	138440	So one thing to note here is that we can only, you know, write programs and get things
138440	143760	done for those kind of tasks for which we know the recipe to do those tasks, okay.
143760	149480	So if you do not know the procedure to calculate something or compute something, you cannot
149480	151840	instruct computers to do those things.
151840	160840	So this is one of the very important criteria that we can only, you know, write program
160840	164720	to do those kind of tasks which we can, you know, manually do.
164720	169240	It requires manual and manual understanding of the task and also a mechanical procedure
169240	175560	to accomplish this task, then only we can relegate these to computers.
175560	180200	Now coming to the next question, you know, what are we programming?
180200	185840	So when we say we are writing a program or we are doing the act of programming, at the
185840	191360	other end is a real computer and real computers nothing but real machines which we are trying
191360	193000	to program, okay.
193000	198320	So in the process of programming, we are trying to instruct these real machines to do some
198320	202200	computation that we desire to, you know, perform, okay.
202200	205000	So you know, so what are we programming finally?
205000	210680	So we are actually programming these real machines and therefore it's very important to understand
210680	212800	the interaction with this hardware properly.
212800	220320	If you want to convey your intention to compute something to these computers, then, you
220320	225200	should understand this process of, you know, communication in a much more precise way,
225200	228400	okay.
228400	233200	So this brings us to our, you know, next question, what is a program, okay.
233200	239720	So a program is then a mean or a method to communicate your desire of computation to
239720	242680	these real machines that we call computer, okay.
242680	249360	So we can communicate our, you know, intention to compute something by writing a program,
249360	255280	you know, to these computers.
255280	262560	So programs are sequence of instructions, they communicate computational intent to machines
262560	265720	and therefore understanding, you know, this communication is essential, you know,
265720	270720	are we communicating properly what we desire to compute to these machines is essential
270720	279920	to, you know, the act of programming.
279920	282360	So this brings us to our, you know, final question.
282360	284280	So what is a programming language?
284280	290280	So as we, you know, discuss just now that we write programs to communicate our intention.
