start	end	text
0	9720	Hello and welcome back to Python, core and applied concepts.
9720	16480	In this video we will be exploring how do we define a programming language.
16480	22960	To be more precise we want to answer what is syntax and semantics for a given programming
22960	25000	language.
26000	32000	It gives us a rule to frame the correct structure of a valid program.
32000	39000	It is just like a grammar in our natural languages where the grammar rule tells us how to
39000	44000	frame a correct sentence and then how to join those sentences properly to make paragraphs.
44000	51000	Similarly, in formal languages like programming languages also, we have certain rules which
51000	58000	can precisely tell us what will be accepted as a valid program and what will be not accepted
58000	59000	as a valid program.
59000	65000	So these rules are called syntax rules and they guide us to write correct programs which
65000	76000	can then be interpreted by compilers or interpreters and translated into machine languages.
76000	83000	Now as we know there can be infinitely many possible valid programs in any given languages.
83000	90000	So a natural question that comes in our mind is that how can a reference manual or any one
90000	97000	manual which defines the programming languages can describe all these infinite set of valid Python
97000	98000	programs.
98000	105680	Since a number of programs are infinite and normally these grammar or syntax rules should
105680	112680	be finite to make any sense, how can this finite number of rules help us define this infinite
112680	113680	number of valid programs.
113680	120680	So this is what may intrigue you to most of the learners, how can we even define this infinite
120680	123680	set with this finite number of rules.
123680	130680	So the answer is if you are familiar with any inductive type of definition which occur more
131680	136680	often in computer science then you will know that an infinite set can always be defined using
136680	139680	finite number of rule in an inductive way.
139680	146680	So the trick is we start with very basic notions and define clear rules of forming those
146680	155680	kinds of concepts like characters, terms, expressions and then we keep on building this hierarchy
156680	157680	to define programs.
157680	159680	So we do not do all in one step.
159680	166680	So if you divide the definition or the act of defining the correct syntax of programming
166680	172680	language in this hierarchical way then it is possible to inductively define the whole set
172680	177680	of valid program inside the programming language.
178680	184680	For instance in most of the languages normally these syntax are given using back a snore
184680	187680	fork.
187680	194680	So this is a very common progression of concepts that is defined in a programming language.
194680	201680	For example we start with something called character, we define first how to describe characters
201680	206680	properly and then using those definition of character we then describe what is token,
207680	210680	how to form valid tokens in the program.
210680	215680	Again building on the notion or correct definition of token we can define what is an expression
215680	222680	or valid expression that can be accepted by the compiler of the language and then using
222680	228680	this again notion of expression we go to a statement and hence we come by in many statements
228680	229680	to form a program.
229680	236680	So this is very natural progression of defining program formally inside a programming language
236680	242680	which is not very specific to Python but very common to different programming languages.
242680	248680	And this back a snore form is a popular form which most of these language reference manual
248680	254680	uses for precisely describing these language constructs like character tokens, expression,
254680	256680	statements and programs.
256680	263680	So in back a snore form normally you will see symbols like this which is nothing but how
263680	265680	to replace left hand side with the right hand side.
265680	274680	For example if you want to define digits I mean digits are nothing but 0 or 1 or 2 or something
274680	275680	like this.
275680	284680	So this is a quick review of some frequently occurring notations when you define a back a snore
284680	291680	form and so we will have something like this which tells us how to define a particular notion
291680	297680	like token expression statement and then we have abstract concepts which are nothing but
297680	302680	I mean again token expression and statement and we will have definition for each of them.
302680	311680	Then we can actually define concrete tokens as terminals I mean these are some terminals
311680	320680	in this whole grammar and you have combining operators like this or to combine multiple primitive objects
320680	322680	to form a complex objects.
322680	328680	This is a normal very popular way of describing a programming language as you can see in Python
328680	334680	we have digits defined like this and once you define digits you can actually see defined integers
334680	340680	because integers can be formed by just concatenating digits after each other.
340680	345680	So this is the rule that tells you how to form an integer from a digit.
345680	351680	Any digit can be an integer and then if you have formed a simple integer you can concatenate it
351680	353680	with another digit to form an integer.
353680	359680	So you can keep enlarging your integer as long as you want.
359680	362680	I mean by just depending a digit to its end.
362680	365680	So this is how to read these kind of rules in programming languages.
365680	369680	Similarly as another example you can see this is a variable name.
369680	375680	So what are the possible let's say valid variable name that can be accepted by Python programming language.
375680	385680	So for that I mean we can again say so any letter is a valid variable name and you can form more complex variable name
385680	390680	by keeping concatenating different letters at the end of it.
390680	399680	So this gives you a way to say that I can form variable name of larger lengths from this smaller length.
399680	405680	So these kind of definitions are normally called inductive definitions in mathematics and computer science
405680	412680	and it is good to have some familiarity with them because then in the cases of ambiguity or any doubt
412680	419680	you can refer to the language reference manual and figure out on your own what is syntactically correct program or not.
420680	428680	Although you will not need it most often because compiler will you know warden you if you don't write a correct syntax.
428680	434680	So you know mostly get a warning or you know error message syntax message syntax error message from the compiler.
434680	441680	So you don't need to memorize it but it's a good idea to be familiar with this.
441680	450680	So in a nutshell what is syntax for a given programming language syntax is nothing but the grammar that governs the code structure.
450680	455680	So it tells us what can be right as a valid program inside this programming language okay.
455680	467680	This is nothing but no like grammar for a natural language and it can help us identify what is considered as a correct or valid program and what is not a valid program.
471680	494680	Now coming to the second concept which concerns about the semantics of you know programming language.
494680	505680	So what is the semantics of a programming language? Semantics you know unless syntax which you know tells you what can be accepted as a valid program you know looking at the structure of the program.
505680	515680	Semantics tells you about the meaning of a program when we write a program as we discuss in the very you know first lecture that we write program with some intention right.
515680	521680	So so that intention is what we are calling you know meaning or semantics here.
521680	529680	So so what will be the you know effect of let's executing this piece of code let if it is a varied piece of code that's what we are calling semantics.
529680	537680	And unlike you know syntax you know defining semantics is a little harder because we are talking about meaning and not the structure.
537680	547680	Now syntactically correct or structurally correct or valid programs may produce you know results which are not intended.
547680	552680	So that's why it's very you know important to understand the meaning of a program properly okay.
552680	561680	And when we see the meaning of a program and normally when we talk about meaning of anything we talk or we try to describe the meaning in terms of whatever we know.
561680	574680	Right about some other things or you know some primitive things but here the scenario is a little difficult because we are describing a programming language which is a no artificial thing which has been described by us.
574680	586680	And then describing meaning in terms of simpler things become you know difficult so normally the process which we adopt to describe the meaning of a program is where the effect of code execution.
586680	598680	So what is the meaning of a program so meaning of the program can be you know defined in terms of what will be the effect of running this piece of code on a let's a real machine okay.
598680	605680	So this is what we you know called effect of executing this code so normally meanings are defined you know in terms of effect of execution.
605680	619680	And when we know again I mean when we talk about effect of execution of code on the you know machine then naturally there is no real machines comes in mind but these programming languages gives you a very nice abstraction of over this real machine.
619680	628680	And what we say is we don't talk about the effect of execution of this you know program on real machine but on abstract machine which is far more simpler.
628680	648680	Where all our let's say no conception of memory of the real machine are abstracted by these variables and how these you know register value or these things are changing or the data is moving between one component of this computing device to the other component is you know captured by these instructions which manipulate this variable okay.
648680	668680	So understanding semantics for a high level programming language is very important and we do it via you know understanding the notion of variables no statement that manipulate those variable values and how different statement manipulate the values of these variable in a different way.
669680	693680	As a very simple example I mean if I want to talk about you know the semantics of a simple program which is let's say you know these you know these instructions like I mean you assign some value to a variable and then you assign very some other value to another variable and then you add those two variables to get a third variable and then want to print it.
693680	710680	So what will be the you know effect of executing these instructions in sequence is what will be the meaning of this program okay for example I mean what will be the effect of executing the very fast instruction which which is assigning a value five to the variable X okay.
710680	718680	So do you think I mean by you know assigning this value of five to X you are changing the value of Y or Z.
718680	747680	The answer is no right I mean in this case we are only changing the value of you know X so what what we can say is the value of you know our abstract machine in our abstract machine only variable which is you know changing value after execution of this particular instruction is no the variable X and I don't need to care about what what are the other variables you know if we are concerned about the execution of this particular statement but again in the next statement we see the value of variable Y is being changed to 10 okay.
747680	772680	And similarly I mean if you are thinking in terms of you know our abstract machine so till now we have been established only two variable X and Y and the second statement does not change the value of X instead it changes the value of Y so what will be there you know effect of the second instruction if we have to talk you know in isolation the effect of the second instruction is only changing variable you know Y value and not the X value.
772680	795680	So this is how you know abstracting away this Mori and registers in the more variable helps us you know reason very cleanly about the effect of program execution okay other way it will be really difficult to you know understand the effect of this on the exact machine because exact machine you don't know where these variables are being installed which register is not taking care of this variable.
795680	816680	Okay so always when we talk about semantics of a programming language and specifically if we are dealing with high level programming languages we talk in terms of these variable and how the instructions are changing the set of variable that the program has initialized this is what we call you know semantics of a programming language in a nutshell.
816680	845680	So now that we understand what is syntax and semantics so what can be or what is a you know most authoritative or definitive source for these definition like you know for a given programming language we know that we need to define the correct rule for forming is structurally correct program which we know syntax.
845680	873680	And also we have to describe what will be the effect of execution of let's say those correct program you know on the state of abstract machine but then what is the ultimate source of or where do we write these definitions or we describe these two aspects of programming languages normally every programming language has you know reference manual and these references manual these reference manuals are the most definitive source of you know these definitions of syntax and semantics.
873680	899680	So in case of doubt we we can always refer back to these reference manual and learn more about the exact syntax and semantics for this programming language although there are you know many popular books for every programming language is but in case of you know doubt and you know any scope of ambiguity we should always refer back to the python reference language manual.
899680	925680	Now once we know that you know python's language reference manual is the definitive source for you know the correct understanding of syntax and semantics we should also ask what is the correct implementation of these definitions let's say I mean the language reference manual only define the programming languages but what about implementing it right someone has to write a compiler based on these definition of syntax and semantics.
925680	950680	So there are you know many popular implementation or you know standard implementation of these definitions of syntax and semantics in form of compiler and interpreted but the most widely used and original implementation is see python which is you know implementation of this compiler in see programming languages and which is referred as the most trusted implementation of these definitions.
955680	971680	So once let's say we know about the ultimate source of definition of these things and implementation of these things we would also like to know what are the most you know popular python programming you know IDs.
971680	999680	Okay so let's say if someone has implemented the compiler then but then you don't work directly with the compiler you need normally a nice ID for working or for working with this programming languages so there are a couple of nice ID available for python programming language which are popular among programmers now some of them are pie charm VS code Jupiter notebook and Google call app.
999680	1028680	So my you know favorite is Jupyter notebook because it gives you a very nice markdown integrated with the python code blocks and you can not only you know so this is a very good you know development environment where you can put comments and you know you can you know you can build nice tutorial in this Jupyter notebook so I will be following Jupyter notebook throughout this course but feel free to explore other you know more advanced.
1029680	1034680	ID like pie charm and VS code which are very popular among python programmers.
1042680	1054680	So again I mean to summarize what we discussed was that python language reference manual is the ultimate source for defining syntax as well as the course semantics for python programming language.
1054680	1070680	But you know there may exist some ambiguities in these python language reference manual because they are certainly the most definitive source for any you know getting rid of any ambiguity but it's not the case that these programming language reference manual don't have ambiguities.
1070680	1088680	For from the syntax point of view more or less you can believe that these language reference manual are more or less formal and precise so there is no scope of ambiguity but semantics is where these language manual may also get wrong or they may leave some room for ambiguities.
1088680	1101680	Okay so since these you know effect of running a program on the abstract machine for these programming languages are normally described in English language we may know different people may interpret those.
1101680	1116680	Description of effect in different ways and that may cause a lot of you know ambiguity so there is no formal in a specification of semantics for you know python programming language and all that we
