start	end	text
0	14400	Hello and welcome back to Python core and applied concepts for reliable data sense workflow.
14400	19760	In today's video we are going to look into the minute details of Python's type system,
19760	24640	which are often neglected by beginner programmers in Python.
25200	28000	Without further delay let's get into the slides.
33360	38160	So this is in a nutshell what we are going to discuss in some detail.
38160	43760	We are going to talk about Python's type system, which has these three interesting property,
43760	49440	which are called dynamic typing, strong typing and optionally static typing.
49920	57840	So the first two features, dynamic typing and strong typing somehow helps us get the program
57840	64800	developed very fast. So it somehow helps us in developing program very fast because Python is
64800	70960	flexible in how you can instantiate variable and how you can change type of those variables
70960	76160	dynamically. Many of the programming languages does not have this feature. Once you define a type
76160	82000	or associated type to a variable, you cannot change it later on. But unlike them, Python,
82000	86640	for example, in this case, dynamic typing can see you can instantiate a variable with
86640	92320	integer type and then let it happily assign it a string type. This is possible because Python
92320	100000	compiler and interpreter allows that since Python developer thought this will help in speeding
100080	107120	up the development of program quickly. So another feature which we will talk about is strong
107120	112000	typing. Although I mean Python allows dynamic typing, it does not mean that Python is weekly type.
112000	118960	I mean in the sense that it will not allow different types or incompatible type of object to be
120000	125360	joined by some operator which expects some different types. So type is not checked strongly at the
125440	132400	time when you are making complicated expression out of simple expression using some operator.
132400	138240	And then there is a third option which we call optionally static typing which is present again
138240	147600	in Python which one can use to the benefit of writing a reliable code. And also to help
147600	154160	fear some static analysis tool to figure out some possible errors that it can hint you and then
154160	163600	you can recover early on. So now it's time to again move to Jupyter notebook and see some
163600	168960	hands on exploration around this topic to understand these things in a more clear way because
168960	176400	these things are real. So let's move to the Jupyter notebook and try to observe the slight differences
176480	184720	between these concepts surrounding Python's type system. So let us now go to the
186320	192960	Jupyter notebook and this is the section that we are on Jupyter notebook. So let me
194480	199440	take you through this Jupyter notebook to explain this silent feature of Python's type system.
199440	205040	The very first one is called dynamic typing. So dynamic typing gives you the freedom of
205120	212160	late binding. I mean you should not be worried about the type of variable or you should not
213120	218400	bind the type of variables too tightly with the variable itself. So a variable is just a label
218400	222960	that can be attached to any type of object. So this is what this dynamic typing means. So the
222960	229600	type is associated with object and not with no variable. So variables are associated to these
229600	234480	objects and objects that type. So if you let's associate a variable to a different object it
234480	239760	types automatically changes. So the variable is just a name tag that can reference different type.
239760	249600	So for instance I mean let me write a very simple code where I say instantiate this variable x
249600	257280	with value 5. So in this case I mean you can see if you do this instantiation that x is an
257280	272240	integral right. So if you print x you will get x as an integer if you print the type of
272240	290080	x you will get no let me know. You see when we assign x value 5 and when print we say
290080	297280	we get the type of x no as integer. But you know immediately after this statement we can also
298240	306960	we are allowed to write this kind of statement where I assign a string value to this no variable.
306960	312560	So now x is no string which is a perfectly valid thing to do in Python. Initially you started
313200	319680	x with a value which has no type integer and now you are reassigning another type of object to
319760	326000	the same variable x and after this if you again try to go through this print
328880	339440	type of x. So compiler does not complain and what you get is the new type that is associated with
339440	347200	the object to which this variable x no reference to. So we can easily reassign different objects
347200	352640	to the same variable and once you reassign a different object then its type no is the type of
352640	360240	the variable. So this is very important thing the type checking happens at runtime not at compile
360240	366800	time and it enables rapid prototyping and polymorphic codes. So these are some of the pros that you
366800	371680	can build code very quickly without worrying about the type. Otherwise in programming language like
372480	377440	you have to think in a very big what type you are going to assign a particular variable and then
377440	381520	you cannot change that run. So these things are not so easy to do in other programming languages
382480	388240	but here in Python you can see you can this is a perfectly valid thing to do. But the
388240	392880	columns are that type related errors can only be discovered when the specific line of code is
392880	399520	being done. So it may cause also problems and some errors in the code which will not be
399520	404000	easy to detect when you are developing the code it can only be caught when you are running the code
404000	409360	because this type checking happens or type assignment happens only at the runtime. So this is
409360	415840	a very important thing to keep in mind. So then there is this another concept of strong typing.
415840	421520	Although Python allows you to assign different types of object to the same variable when you
421520	428960	go along the program but it always ensures that the types are checked properly. So operations on
428960	433440	objects are checked strictly. For instance here I mean you cannot so if you see this
434720	441680	if you see this a particular expression where I am trying to add and string to integer Python
441680	448400	will not do any implicit conversion of integers to string or string to integer and then accept
448400	456560	this kind of ill form expressions. So this will cause a type error and it will say that
456640	462080	string can only be concatenated to string. Python does not silently convert either string 5 to
462880	468560	integer 5 or the integer 5 to string 5. Unlike weekly type language example in JavaScript that
468560	475200	perform implicit conversion Python doesn't allow this. So the key distinction between dynamic and
476080	480960	strong typing is that dynamic means flexible in what a variable can be. So that's why we begin
481040	487600	call dynamic that the type of the variable can later on change depending upon what object it is
487600	494800	referencing to. But strong here when we say strong typing is strong means rigid in what operations
494800	499840	are allowed on those objects. So for example if you just copy paste the same thing if you want to
501600	507920	run this program here inside Python. So if you try to run I mean so this is the error that you
508880	514960	can only concatenate string not into the string. So this is what we call strong typing although
515600	520400	it allows you flexibility of changing the type but at any moment of time when you are building
520400	527600	a complex operation using simpler expression of different type then the operator should respect
527600	533680	that. I mean if operator does not expect different types as input to build complex expression then
533680	538960	you cannot give like I mean this no plus operator you know expect either both be string or both be
538960	543120	you know integer. So it you know complains you so this is what we call strong typing.
546320	551760	So this is the core principle that objects have a defined type okay and operations are checked
551760	556880	for compatibility between types. So while defining operation you normally define what type of
556880	563120	object it will not take as input to produce what type of no other object. So there is no implicit
563840	573040	type no conversion that you know occurs in Python okay. So so this prevents you know hidden silent
573040	578560	bugs the program fails you know fast and loudly when types are mixed incorrectly forcing the
578560	583760	programmer to explicitly state their intent. So this is no this is strong typing is very you know
583760	589920	interesting because it will not let this kind of you know error go down you know go unnoticed.
590480	594480	It will the compiler will complain early on. So that's why you know this is strong typing is a very
594480	602160	nice feature to have. Now the third very important property that I want to talk today is optional
602160	612880	aesthetic typing although Python does not enforce you to assign a type for a variable or a function
613680	619680	you can optionally do it okay. And the advantage of you know assigning types to any variable
619680	626080	you know early on is that it can help compiler optimize in certain ways okay. So it can allow
626080	631680	compiler to do a lot of optimizations which will not be possible otherwise. So that's why these
631680	637280	optional typing are important. So and we should do it whenever we feel we are certain about the type
637360	645040	and you know we want the program to only restrict to input or values of this variable of a certain type
645040	650640	okay. For example I mean in this case you know you can actually let's say you know if you are
650640	657200	declaring a name I mean a variable name which will have this value as a string you can also
657200	662080	say explicitly here that you are expecting a string value here okay. Similarly for count I mean
