start	end	text
0	16200	Hello and welcome back to Python Core and Applied Concepts for Reliable Data Scenes
16200	18680	workflow.
18680	26320	So in today's lecture I'm going to discuss about one of the projects with which we want
26320	33200	to conclude our lecture series on Python Core and Applied Concepts for Reliable Data
33200	34720	Scenes to Workflow.
34720	41440	So till now what we have seen was core Python programming and we have almost seen most
41440	48760	of the important concepts from that area core Python programming.
48760	54840	We also discussed about two simple data structure that I gave you as an assignment to implement
54840	62080	so that should give you enough practice on the core Python programming segment.
62080	70600	So the main goal of the lecture today is to introduce you to one concrete problem from
70600	77600	Data Scenes domain which is not very simplistic and also not very complex in nature.
77600	82480	So the idea is to not make you an expert in Data Scenes, I mean it's just to expose
82480	88280	you to the overall workflow of let's say any Data Scenes or projects.
88280	93880	So the workflow in different Data Scenes project may vary a lot depending upon the problem,
93880	99880	the requirement or the final output that is expected of that project.
99880	105880	But overall I mean if you understand these simple 5 to 6 step workflow you will be able
105880	111880	to make those minute adjustment on your own by understanding the problem statement.
111880	123080	So the goal here is to talk about that same 5 or 6 step workflow of Data Scenes project
123080	129880	in the context of a concrete project which we want to call a spectral trial modular
129880	132880	and automated workflow.
132880	136880	So the goal is how to design Data Scenes project architecture.
137880	143880	So with this goal let's continue our discussion.
143880	151880	So this is our first slide which tries to emphasize that we are going to kickstart this project
151880	157880	and this project is around spectral data to file inside.
157880	161880	So there will be two things that we will be talking in this project about.
161880	169880	What is spectral data in general and how it can be used effectively to gain some insight
169880	173880	about the soil on which we live.
173880	179880	And we will see that Data Scenes plays a very crucial role in solving this problem.
179880	184880	So in this project you know Data Scenes is a center piece kind of thing.
184880	190880	So we are not talking about a toy example so this is actually a real world problem
190880	197880	and we are solving this real you know environmental problem with Data Scenes.
197880	205880	So this is a very you know important slide and just I want to make it clear that since this is part of a project
205880	208880	that you need to finally submit.
208880	213880	I will avoid going to Jupyter Notebook if not essential.
213880	218880	So even if I go there I go with the purpose of explaining the overall workflow
218880	227880	and not to discuss the exact code or implementation of the ideas that I ask you to implement on your own.
227880	237880	So the focus is will be on providing this clear context and the problem statement in a far more detailed way
237880	241880	so that you don't have any ambiguity about what problem you are solving.
241880	246880	And it will not focus on the exhaustive details of the implementation.
246880	252880	So you are actually expected to figure out the exact implementation details on your own
252880	259880	and you are free to use internet and any other resources that might be helpful for you.
259880	267880	So to get our first draft of any code or understanding of what these concepts are
267880	271880	I mean if you want to know more details about what these concepts exactly are,
271880	275880	you can actually search web and not talk to GPT or any LLM agent.
275880	282880	But then I mean finally the code that you prepare you should take full guarantee for that code
282880	286880	and you should have a complete understanding of the code why that code should work
286880	289880	and whether that is a correct no way to solve this problem or not.
289880	295880	So you can actually explore all the online resources that is available
295880	299880	and an overall workflow will be provided for your guidance.
299880	305880	So the plan in the next three to four lectures is to just provide you this overall workflow
305880	314880	and not go to GPT notebook if not absolutely necessary for the project description.
314880	324880	Now let's come to the problem statement and why we are talking about why this project even matters.
324880	329880	So at the center of this project is this global soil health challenge.
329880	334880	I mean as we are proceeding ahead and countries are getting developed.
334880	340880	So we are depending a lot or we are stressing out our soil resources a lot.
340880	347880	So now soil quality is very important for almost every aspect of our life,
347880	354880	for food security and climate change are heavily affected by what is the quality of soil
354880	355880	and which you are living.
355880	362880	So this project actually tries to somehow address that global soil health challenge.
362880	368880	So these are some interesting fact that it is an interesting note at this point.
368880	372880	That soil stores more carbon than the whole atmosphere.
372880	379880	So while carbon dioxide may be harmful in the air,
379880	384880	so it is equally important or useful when it is present in the soil.
384880	390880	So that is why one of the target feature which this project also talks about is
390880	393880	total organic carbon content of the soil.
393880	401880	So we want to assess that and predict what will be the trend in future based on our ML pipeline that we create.
401880	408880	So there will be some other target properties of soil that we will be talking about.
408880	415880	But the total organic carbon is something that is very important for policy maker and farmers
415880	421880	because it directly affects the quality of life that we will be living in that region.
421880	426880	So every year billions of tons of fertile soil is being lost.
426880	433880	But due to unsustainable agriculture practices, deforestation, overwishing and construction kind of activity.
433880	438880	And this will put security in adverse way.
438880	444880	If we do not preserve our soil organic carbon and essential component of soil,
444880	448880	then in future we will have serious food security crisis.
448880	454880	And climate changes, mitigation through this soil organic carbon is also one thing
454880	456880	that people are looking at.
456880	464880	So can we somehow bring back these CO2 kind of things into the soil where it is more useful?
464880	471880	So that is why having accurate prediction of what is the soil organic content
471880	479880	and how it is depleting or increasing over the time is really a helpful thing to do.
479880	483880	Now we can do it in multiple ways.
483880	491880	This soil analysis, one very simple way is you bring soil sample to the wet labs
491880	497880	where chemist can help you assess what is the content of this less total organic carbon
497880	500880	or any other soil property that you are interested in.
500880	504880	And this has been the traditional approach to solve this problem.
504880	511880	Even in India we have multiple isro centers and local agriculture universities
511880	518880	which do regularly this soil health analysis by bringing sample from this varied region to lab
518880	524880	and then analyzing them in lab to figure out this soil content.
524880	530880	So this is already in existence but then this is as you can see very labor intensively.
530880	534880	Every time when you have to do this analysis you have to go back to the field again
534880	537880	and you know bring these samples.
537880	541880	So this is not something which can be scalable and which can be used again and again
541880	547880	if you want to let's say predict the soil health over a let's say elongated period of time
547880	551880	to see how this is changing you know whether this is alarming or not.
551880	556880	So if you want to do this practice again and again it requires a lot of human involvement.
556880	563880	So certainly bringing samples to the lab to test it using some chemical analysis
563880	567880	is not a way for future right.
567880	572880	I mean if you want to do these kind of analysis regularly in different time zone
572880	575880	then this is not a feasible practice.
575880	580880	So that's why this project talks about hyperspectral remote sensing.
580880	586880	So hyperspectral sensing goes beyond human vision okay.
586880	592880	So what happens is normally we employ some high-regulation camera
592880	600880	which can not only capture our human vision but also can capture beyond human vision you know a spectrums.
600880	608880	So normally the camera that we put on satellite to let's say take a picture of our you know
608880	611880	Earth or this you know geographical location which we are interested in.
611880	614880	It has multiple spectral bands okay.
614880	621880	So for human eye you know RGB red no being blue is all the sensual information that you need.
621880	626880	I mean any picture which has a combination of these three things makes sense to us.
626880	633880	No other things we cannot see but these cameras can actually capture very wide range of spectrum
633880	641880	and normally we call them hyperspectral if you know they are you know the number of bands
641880	646880	that they can capture goes beyond 200 plus or something like this no it even goes in thousands.
646880	653880	So like I mean the full hyperspectral actually contains thousands of you know band or different wavelengths.
653880	661880	I mean this camera capture images so each picture you know each at each pixel I mean which represents a geographical location on land.
661880	667880	You have a full hyperspectral you know signature okay.
667880	673880	So this is like you know providing a fingerprint for you know that particular on the soil location
673880	677880	or that particular geographical location that you are taking picture of.
677880	688880	Now what happens is let's say if this is you know one sample spectra that you observe by this satellite at a given pixel position.
688880	694880	So remember I mean we are talking about only one you know pixel signature okay.
694880	699880	So that one pixel on the ground you know represent you know some area right.
699880	703880	I mean so when you take an image and let's see we are talking about this particular pixel.
703880	708880	This picture so corresponding to some geographical location on the land itself okay.
708880	716880	So for this geographical location no corresponding to this picture if I see what is the reflected.
716880	722880	You know spectrum by this you know land that has been captured by my camera.
722880	728880	So cameras has sensors and they you know capture at so there are multiple you know sensors in camera.
728880	733880	And the number of sensor defines how you know high resolution your camera will have.
733880	739880	So every let's say sensor captures one no pixel information which correspond to a land location.
739880	749880	So what it means is that you know when you know erase gets you know reflected from this particular piece of land and then goes back to camera.
749880	758880	What are the energy level for each of the wavelengths that it you know captures okay.
758880	762880	So this is not we call you know amplitude of the wavelength that that is being captured.
762880	766880	For example you know these are the wavelengths which are captured with very low amplitude okay.
766880	775880	But on the other hand you know as you go across the higher bands so the horizontal line actually represents you know different wavelengths or different frequency.
775880	784880	So for different frequency you will see there will be different you know amplitude that the sensor finally could capture.
784880	797880	So why this is true because I mean there this becomes true because because you know soil different soil may have difference you know chemical components.
797880	806880	And this chemical components somehow you know influences what kind of radiation the soil will absorb and not let it know go back to the camera.
806880	813880	Okay so this absorption is what differs from different soil sample to difference and soil sample.
813880	821880	So this is what I wanted to highlight here that human high I can only capture three you know color but multispectral and hyperspectral.
821880	828880	No cameras can capture multiple bands information and when we say it capture band information what we are meaning is that.
828880	843880	It is capturing the reflected radiation that is coming from that piece of land to the camera and the reflection you know amplitude of different wavelengths may not be exactly same right.
843880	852880	We are not getting a horizontal curve you know flat curve kind of thing and these are the interesting thing that we want to note from that spectra okay.
852880	859880	So some so what happens let me go to the no next slide and then it will create so why different materials have you know unique signature.
859880	867880	So the reason is that every chemical you know bond vibrates at specific frequency and absorbs specific wavelength.
867880	881880	So let's say if some chemical is present in let's a high quantity in your soil sample then that we know chemical we have certain you know behavior that no it only absorbs some wavelength.
881880	891880	So some wavelengths no more aggressively than the other wavelengths for example maybe no total organic carbon absorbs these wavelengths no aggressively rather than other wavelengths.
891880	901880	So here you will see a deep kind of things means the reflected no wavelengths are not high in you know amplitude okay.
901880	913880	This is what you know this is why if your soil component or chemical composition of your soil change then you will see different kind of signature for the sample right because this may be.
913880	927880	So this is a signature of one let's say soil you know region or pixel value but if you go to another pixel value and then try to see what is the signature that is being captured by camera it may be completely different.
927880	937880	And I mean these are affected you know the reason for this kind of you know dips that you see in between are presence of different kind of chemical bond in the soil okay.
937880	955880	For example you know presence of more organic carbon may you know create dips at certain points similarly presence of more let's say calcium carbonate which is another you know interesting property that normally soil centrist want to measure may cause some other wavelengths to you know.
955880	975880	To see a deep here because they they actually absorb those kind of wavelengths no far more than let's say maybe this kind of a plant okay so by just looking at these dips you can figure out you know which of the component or less a soil chemical properties is present in your current sample.
975880	993880	So instead of taking these samples to you know lab every time I mean these hyper spectral signatures are also a very you know nice way to or an alternate way to predict the you know content of those chemical composition inside your soil okay.
993880	1003880	So this is where you know we are going I mean we want to you know observe many such signatures and then maybe from their figure out some trend that can reflect
1003880	1009880	whether you know total organic carbon is more or less or let's say some other properties more or less okay.
1009880	1024880	So so this is what you know the problem statement is we want to predict soil organic carbon and also some you know other interesting property from by looking at what is reflected from let's say that soil sample.
1024880	1041880	Let's say this is the soil sample and it reflects some some of the or maybe you know all of the no wavelengths but with different amplitude right it reflects some wavelength quite well but it does not reflect some wavelength no that well because it absurd most of you do to some.
1041880	1053880	No soil property in this case let's say no keep in mind that soil organic carbon is what we are interested in but in the project I will give you you know multiple targets which represents different kind of soil no property.
1053880	1061880	But for this you know particular slide let's assume that we are interested in soil organic carbon which is also you know chemical property of the soil.
1061880	1076880	And for this particular sample what we see is that different wavelengths you know get reflected with different you know magnitude and these different magnitude actually reflect how much you know soil organic carbon is you know present in this one.
