start	end	text
0	14560	Hello and welcome back to Python Core and Applied Concepts.
14560	20560	So in today's lecture, we will be talking about expression which is the most natural
20560	26200	next big concept in any programming language.
26200	34080	So yeah, so let's begin the description by recapping what we just know recapping what
34080	41400	we discussed in the previous lecture, let me go to the slide here.
41400	46400	So this is a quick recap from our previous lecture, so what we discussed till now was you
46400	49680	know about the syntax and semantics of any programming language.
49680	55360	We said that no matter what programming language you want to study, you should always
55360	62120	focus on all these two big concepts of syntax and semantics and try to learn the language
62120	63840	by learning syntax and semantics.
63840	69320	So that's what we will be doing today also, we will start with how to write and build
69320	74920	correct expression inside Python and then we will talk about what these expressions actually
74920	75920	mean.
75920	83640	So no, how what they evaluate to, but we also talked about in the last lecture the concept
83640	89680	of variables and type systems which are again the starting point in any programming language
89680	97080	if you want to store values and manipulate them to compute something meaningful, then
97080	100080	you need to have this concept of variable.
100080	106480	So this concept of variable is very quote to any imperative programming language, though
106560	115160	in functional programming language as we don't have the notion of variable as it is in imperative
115160	121080	programming language, at least I mean variable don't help you change the state of the machine
121080	122080	there.
122080	128240	So this is a distinctive thing in an imperative programming language.
128240	135120	So we have seen it in the last lecture and we also saw how variable can point to objects
135120	140840	of different types or you know data types of which are you know essentially of different
140840	147000	types like integer string, Boolean values, etc.
147000	153920	So let's now take this forward today and try to build some more complex expression
153920	160640	or complex entities in our programming language which is very much useful if you want to do
160720	167200	any you know complex computation or computing if you want to write a function to compute any
167200	174200	complex function, then you know these variables and this basic data type cannot or may not
174200	176560	help you to a larger extent.
176560	182560	So that's why I mean the notion of expression is important because this gives you a method
182560	187320	to build more complex things out of these variables and type system.
187320	192280	So this is what we will be doing today, let me put to the next slide.
192280	198640	So this is in a nutshell what expression is, okay so this is no part of the grammar
198640	205600	to form from simple value complex logic, okay so we want to know you know form complex
205600	213200	logic, no complex thing which represent you know some let's say value when you compute
213200	214200	them.
214200	216560	So that's for that reason we need no expression.
216560	222200	So an expression is a combination of values variables and operators that can be evaluated
222200	224760	to produce a single resultant value.
224760	231600	So this is important I mean expression will always you know evaluate to some value, okay
231600	238680	so and you know this is very important as we will see I mean in letter today in the
238680	245560	lecture that statements and other you know statement in programming language need not
245560	252720	always you know evaluate to some value but when we talk about this concept of expression
252720	257760	the semantics of expression comes from what value it actually evaluates to, okay so
257760	262240	the meaning of expression is only in the value.
262240	267800	So if the expression evaluates to some value then we can assign you know that value as
267800	275640	the meaning to the expression, okay so let's know so yeah this is what we I said just
275640	281440	know that no so in contrast with statement I mean these things will always have value.
281440	288040	So this is the rough you know progression that we will follow in today's lecture so
288040	294160	we will start with basic you know expression and how to define them we'll learn about operators
294480	300000	different type of operator that is available there in Python and then we will talk about
300000	306960	a very special kind of expression which we call assignment expression and finally we will
306960	312640	conclude this lecture with the discussion around lambda expression so lambda expressions are
312640	319040	also very interesting and the origin can be you know trace to functional programming languages
319040	325120	so we'll very briefly look at what these lambda expressions are and how they can be useful
325120	331680	in certain you know instances, okay so now without knowing any further delay let's move to
331680	347520	the Jupyter Notebook and begin our discussion of expressions, okay so we are on our Jupyter Notebook
348480	355280	so you know let me begin by giving you some very small example of what an expression will look like
355280	364560	so for example I mean let's start with very basic mathematical operator and how to build
364560	370480	you know small mathematical expressions out of you know simple data types like you know integer,
370480	376240	okay so for to begin with let's you know start with these arithmetic operators and we know
376240	381360	from mathematics that now there are so many arithmetic operators that we can use to combine
381360	386000	no natural numbers or you know real numbers right I mean for example no addition is one
386800	392480	arithmetic operator, subtraction is another arithmetic operator multiplication no division
393120	398480	flow division model and exponent so these are also available in Python so if you want to you know
398480	403600	mimic these let's say mathematical operations and somehow implement them inside Python you can
403600	410800	actually use these you know operator to you know build expressions mathematical expressions in
410800	417680	inside Python so let me write some simple mathematical expressions for example let me you know
417680	428400	use this addition to so let's write it so let's try to no print what will happen if I let's say
429040	438240	no add 10 and 3 okay so we just want to see whether I mean this is accepted by Python or not so
438240	444640	is it a valid so right now what we are checking is is it a valid expression at all I mean
444640	449680	does this plus is recognized in the same way as we understand it mathematics or it has some
449680	456880	no different semantics so if you know I can you know run this then I know it's clear that Python
456880	462640	accept this as a you know correct syntax and if you get the intended value so what you can
462640	469520	infer is that the meaning is also same as you understand no addition to be so when we print
469520	476160	this what do we get so let me print it is 30 right so Python accepted this syntax and also give a
476160	483040	response which is 13 which closely matches you know your understanding of the addition right so
483680	490800	so what about now if I want to let's say or use this maybe division operator
493440	500240	is this division operator same as we expect or it's some different division operator so
500240	508400	what do you know in guess here I mean if I so this is exact division operator right which
508400	517360	you maybe want to use at this moment so this symbol actually represented division operator okay
518240	528000	so what about the no but the similar looking operator which I have written here so let's say
528000	535840	if I do the same division but now if I use this one which I call flow division so
536400	544800	or what do you expect what shall we get at this moment so you see there is a no clear difference
544800	550960	and this is exactly what we call flow division right I mean you know forget everything which
551680	556400	is after this no floating point okay so so after decimal I mean we forget everything so
558400	563360	right so if when you try to evaluate this expression the meaning is that you get the flow
564000	573600	no division so similarly can we go and do some more just let's no experiment with a few more
574400	579520	arithmetic expression to see whether we understand them properly so what about
581760	590160	this modular division so okay so what will with the result when you divide 10 by 3 so what
590160	596560	will be the final you know remainder that you get okay so that's what we can expect here right
596560	605520	so this this represent no modular division and you see when you divide 10 by 3 so the remainder
605520	613120	that you get is 1 right okay so so it's very you know important to you know keep in mind the
613120	618080	distinction between these two these three so first one is no normal division operator the second
618080	624560	one is flow division and the third one which you know uses you know this symbol actually builds
624560	632720	an expression that evaluates to remainder okay so what about this exponent so so let's not
632720	644880	try to see if you use this exponent so if I want to raise 1 to 2 get set 3
651360	658960	so this is also accepted right so what we saw just now was that no all the arithmetic
659680	667280	operation that we are used to in any mathematical computation are also available in Python
667280	672960	and these are the you know precise syntax and they're corresponding semantics so semantics matches
672960	680080	the semantic that we have in mind and the syntax is you know accepted by this programming language
680080	687440	which is Python so now let's move to some you know other type of you know expressions you know
