start	end	text
0	13480	Welcome back and let's continue with the Python expression hierarchy that we started
13480	16600	discussing in the last lecture.
16600	22480	So you remember, I mean we already discussed about this basic concept of expression inside
22480	32440	Python. We already talked about how to build simple arithmetic and logical expression
32440	39040	and how to combine simple logical expression using logical, you know, this operator and
39040	40880	you know, comparison operator.
40880	45720	So we were saying that so today, you know, we will, so we already saw about expressions
45720	46720	operators.
46960	51280	So today, we want to discuss something very interesting, which is, you know, you know,
51280	56080	you know, you can Python, which is called assignment expressions. So remember, this is not
56080	60520	assignment, you know, statement in a, in a state, it's assignment expression and we
60520	66720	will see some, you know, subtle differences and why we should be careful in dealing with
66720	71960	this kind of expression. So this is also part of expression hierarchy. We'll discuss it
71960	78080	again, we'll finally, you know, conclude today's lecture with lambda expressions. So let's
78080	81680	move to the Jupyter notebook.
81680	97360	So before we go to the no-worldless operator, which is also, you know, called the assignment
97360	103840	expression. So let's, let me, you know, briefly talk about an important idea, which is
103840	110680	known as operator overloading. Okay. So in Python, like, you know, in many other programming
110680	118680	languages, you can use the same operator symbol for different data times and from the context
118680	126160	compiler or interpreter can actually interpret the meaning of, or this operator is because
126160	131800	you, remember, if you're using same operator in different context, they must have been
131800	136520	a different meaning. Otherwise, you know, it will be invalid, right? So it should throw
136520	141560	an error. But compiler and other, you know, programming languages know from the context,
141560	143720	what should be the meaning for, let's say, these operators.
143720	150480	For a very simple example, let's say, you know, if I want to combine, let's say, two
150480	159360	natural number, let's say five. And, you know, maybe 10 using, let's say, this no plus
159360	167600	operator. So what do I expect? I, you know, expect. So this expression, actually, the expression
167600	175480	that we have written here represents arithmetic expression, right? And it sees, so this plus
175480	180960	operator sees on its left hand side and right hand side, both a number. So from that,
180960	187200	it guess that it's, you know, addition operation, we are talking about here and it will evaluate
187200	192920	accordingly. So if we run it, I mean, what you see here is no number, no 15, right? So
192920	199600	this is what we expected. But we can use the same addition operator and, you know, using
199600	206600	the same addition operator, we can also combine strings. So what you can do is, I mean,
206600	227440	if we, let's say, write print and then, maybe just add. So what we use here is this addition
227440	235280	as a concatenation, okay? So it will just concatenate the first string, you know, behind
235280	238560	the second, you know, the second string behind the first string, right? So this is the
238560	245800	first string. When we combine this first string with the second string, using this plus
245800	251880	operator. So here, the plus operator is not the arithmetic operator, okay? So from the
251880	257440	context that, you know, this plus is trying to combine two strings, the compiler or
257440	263520	interpreter will know that it's not the, you know, addition operation that the programmer
263520	267960	is intending, okay? So it's the concatenation operation that the programmer is, you know,
267960	275240	trying to convey. So let me print it and see, you can see right, what you print here is
275240	283240	a hello one, okay? So this is very, you know, interesting concept in most of the programming
283240	289160	language that you can use the same notation for different, you know, meaning. So, you know,
289160	294200	so here, the semantics of, you know, plus is not, you know, attached to only addition,
294200	300120	but it is also attached to string concatenation and that's something interesting. Not only
300200	305480	to no string, I mean, you can also, you know, concatenate list. You'll see later on that
305480	310160	strings are actually implemented using, you know, list fundamentally, I mean, list is
310160	317760	the, you know, so you, you can, they are similar in the sense that now, if you want to use,
317760	324360	let's say, the same plus notation and maybe we want to concatenate to list. So list lists
324360	329160	are normally represented in this way. We'll come to list in detail later on, but, you know,
329160	335320	these are not a tie and data structures, which help you organize data properly. So, for example,
335320	340200	in your list, you have one and two and then maybe, you know, in my next list, if I have, let's say,
340840	346760	three comma four, and if I want to use to combine these two lists, so I can use the same,
346760	351320	you know, the operator and then, okay, so what you get finally is,
351640	359400	one, two, three, four, right. So we have seen the same, you know, addition operator, which
359400	364360	we knew as addition operator was actually used as a concatenation operator also, right,
364360	371640	for strings and list. Okay. So with this, I mean, I have already discussed what I wanted to
371640	377880	discuss from the previous class, and now let's move to this very interesting, you know, operator,
378040	385640	which was not present in Python from the very beginning. So it was, you know, added very recently
385640	390840	to Python programming language. So this is called Walrus Operator. So it looks very similar to
390840	397880	the, you know, assignment operator, the assignment, you know, statement that you have already seen,
397880	403640	but it's a bit no different. So for example, I mean in normal assignment statement, when you,
403640	409800	you know, look at a normal assignment statement, what do you see? So we have some variable on
409800	417240	the left hand side, right. So this is the no syntax of normal assignment operation, where you have,
417240	421960	some variable on the left side of the assignment, and then on the right hand side, we have some
421960	428920	complex, let's say, expression, which evaluates to some value. Okay. So you can have a complex
428920	433240	expression on the right hand side, which will evaluate to some value and that value will finally
433240	438440	get assigned to this x. Okay. So this, this was the semantic side. We briefly discussed, I think,
438440	445800	in the previous classes. So this is the normal semantic surface, you know, assignment statement,
445800	451080	and remember that this is a statement. So it does not have, so when you, you know, execute this
451080	455480	statement, this statement will not have a value. The right hand side, which is an expression,
455480	461160	which you want to assign to the left hand side, will have a value. But the overall statement
461240	467560	does not evaluate when I say statement, I say this complete thing. Okay. So this will not evaluate
467560	474280	to any value. So this is a no clear distinction when we call it statement, the statement does not
474280	482280	evaluate to some value. Okay. So it's rubbish to just change the state of x, right? So bind x to
482280	487800	the value. But when when we come to this world as operator, we will say that this is, you know,
487800	494520	this not only changes the state of the variable, which appears on the left hand side,
494520	503800	but this whole, you know, expression also evaluates to a value. So, so to be, you know, fully
503800	509800	precise, what we say that this thing that you're looking here is not an expression. Okay. When you
509880	517720	write x is equal to some expression, this as a whole is not an expression. Okay. But when you write,
518360	524280	you know, you replace this assignment with a Walrus operator, the whole thing becomes an expression.
524280	529960	Okay. For instance, I mean, if I have to let's say, if I let's say initiated, you know,
530840	537640	this, you know, data, let's say data is some, you know, data structure like list of some length.
537720	543000	And if you want to know check whether the, you know, length of the data structure,
543720	549640	okay, is greater than 10. And then based on that, if you want to, you know, decide whether you
549640	553960	want to do something or not in your program, then in one go, you maybe you can write, you know,
553960	560440	this thing, this will work. Why? Because, you know, this thing, not only assigns this,
560440	565480	you know, right hand side, which is the length of data structure to n left hand side, but also,
565480	570520	this whole expression, I mean, this expression will evaluate to the final value of n that,
570520	576120	you know, this expression assigns to. Okay. So we will come to it, you know, in the next block,
576120	582280	I will show you some example to tell you clearly what it means. So you can actually, you know,
582280	588200	replace this, you know, assignment with this Walrus operator and then the meaning actually changes.
588200	593480	So meaning changes in the way that now it becomes an expression. So this is an expression.
593480	599000	It both assigns the value of the right hand side, which is, you know, this was the right hand side,
599000	606440	right, of this Walrus operator and it assigns its value to n and it also evaluates to the value,
606440	611640	which is then assigned to, you know, 10, right? Because we will see, I mean,
614280	619880	so assignment cannot be used inside a larger expression. So remember, I mean, this is a,
620840	626680	you know, this thing or, you know, this whole thing that you're seeing here can never be,
626680	630680	you know, used inside an expression and we'll see if you use it, I mean, then, you know,
631560	639720	the interpreter will throw you some error. So to give you a very simple example of this,
640440	650440	let me. So for example, what I say just now, I mean, we can just try to experiment with that,
650440	658520	what will happen if I let's say print? Yeah. So this is a good example is very simple example to show
658520	663960	you. So what do you think will happen when I run this block of code?
664600	675480	So we'll, you know, Python accepted. No, right? It didn't accept it because,
675480	681000	no, what will it print? I mean, you have not given, you know, some value for it to print, right?
681000	688280	And so this was this was a statement in Python and you were not asking it to print. So maybe
688280	693160	when you were writing it, what you intended was print the value of, you know, X, okay? But
693960	698760	that's not how, you know, you can, you know, make Python to print the value of X because it will
698760	704760	say that, you know, this is not an expression. So what it expected inside was an expression and
704760	709800	since you did not pass an expression, it will, you know, throw you another. But what will happen,
709800	716120	let's say, I mean, instead of, so let me open our new block and then go there and
717080	724360	in. So what if I simply replace it with a Walrus operator. So if I now say print X,
724360	731720	you know, Wal, NASA into five and also evaluated to five, then what will this print?
732520	736760	So this is five, right? So what was the difference? I mean, the difference was that I mean,
736760	744040	this is, this thing is not an expression, okay? But on the other hand, this thing is an expression.
744040	749640	And remember expression always evaluates to some value, okay? So since this, this is an expression
749640	754600	and it, you know, evaluates to value five. So that five values, you know, printed by this,
755240	760760	you know, print, come on. Again, coming back to, let me, you know, did not discuss a,
760760	765720	you know, a real example kind of. So the one that we were discussing here, I mean, trying to
766600	771480	hint here. So we'll come to the same thing here and try to discuss it in more detail. So let's
771480	776680	say now you have defined a data structure. For the time being, you know, assume that the data
776680	781800	structure is list, list is nothing, you know, but simple, you know, sequence of lists is,
781800	787160	you know, actually list what you understand. So formally, we will define in upcoming lectures,
787160	792120	but you know, for now, just know, assume that, you know, list is nothing, but, you know,
792200	801000	these numbers kept in this order, okay? So if let's say, I want to, you know,
