start	end	text
0	13320	Hello and welcome back to Python, Core and Applied Concepts for a Level Data Sence Work
13320	14320	Close.
14320	19120	So, in today's lecture, we will continue where we left in the last video.
19120	24760	So, in the last video, just a quick, as a quick, no recap, let me take you through what
24760	27320	we discussed in the last video.
27320	33920	In the last video, we started a discussion of lists in detail, and we talked about some
33920	41720	of the very basic operations on lists, like how to add elements and lists in different ways,
41720	50520	how to access some element inside a list, how to remove elements inside a list, and
50520	58160	then we ended with how to search elements in the list, and how to count the number of
58160	60160	occurrences in the list.
60160	67120	So, we will continue this discussion today with what we call how to sort a list, so we
67120	73240	have seen in again in some of the previous lectures how to do, how to write sorting algorithm
73240	76400	that we have written by hand.
76400	81640	So, those were no correct algorithms, but then may not be the most efficient algorithm,
81640	87360	so if you are working inside Python, you may want to prefer most of the time in the
87360	90720	end-built function that Python library provides you.
90720	98120	So, this is one of the, you know, Python sorting function that we will use today to sort
98120	99120	it.
99120	113200	Let me, before we sort numbers, let me start with some list, and let me call the name
113200	119440	on the list is numbers, so we first, you know, try to create a list, and then we would
119440	124920	you know, see how the sorting algorithm inside the Python standard library actually works.
124920	133800	So, first let's start with some unsorted list, and let our list be 3, 1, so list contains
133800	146680	this numbers 3, 1, 4, 1, 5, 9, and maybe you know 2, so this is, this be let's our, you
146680	154120	know, original, you know, list, which we called numbers, okay, so, and, so there is one
154120	162160	one way to sort these numbers in place, which modifies the original list, is used, you
162160	170240	know, sort method, so how to apply it, so let me first, so how to apply this, so now
170240	175440	what we are going to discuss is, you know, sort the elements in place, which will modify
175440	180240	the original list, so this is important to keep in mind, that there is a side effect,
180240	185880	and the side effect is that when you apply this function, which is called numbers dot
185880	192960	sort, then this will sort the whole list, and the list, the original list itself will
192960	200560	be modified, so what we are saying is, we are doing sorting, which is in place, okay,
200560	212880	which has a side effect that it modifies the list itself, it modifies the original list,
212880	228200	okay, so what is the exact way to call this method is numbers dot sort, okay, and if you
228200	233880	do this, I mean, you will see that the number, you know, these numbers are listed modified,
233880	241080	so to see it in X, and let me know, before modifying the number list, can we first print
241080	250560	this thing, so, so can we print the original numbers, and before we see what happened
250560	259280	to this numbers once it's printed, okay, one once it's sorted, so let me now print the
259280	269280	same thing, but now what we want to say is, this is after sort, maybe after sort, what's
269280	280120	the status of the list is, what I want to check, so over, we just print it, okay, now
