start	end	text
0	14680	Hello and welcome back to Python, core and applied concepts for reliable data sense workflow.
14680	21120	Today we will start a new module which is module 5 and this module will be mostly about
21120	25400	functions and they are using Python programming language.
25400	33560	So functions as another programming construct is a very important idea in any programming
33560	43000	language and it helps your whole core structure to keep very clean and structure so that any
43000	51800	future development can be benefited from this clean structure and its reusability perspective.
52520	58280	So we will talk about this in detail today how to create functions, how to use them,
58280	64120	what are some common pitfalls that you may encounter if you don't look at the function
64120	71800	arguments carefully. So all of that but first just start with no question that when do we
73240	80440	really know that we need to write a function. So functions normally you write functions to
80440	87160	organize your code you don't always want your single function or the main function to be
87160	95880	very big monolithic piece of code. So if you figure out that some piece of code is being repeated
95880	103160	again and again then that's kind of a good sign to isolate that block of code and make it a little
103160	110280	more abstract general in the sense that it can be used in multiple ways at multiple places.
111000	116920	So that's kind of a hint that you get when you see this kind of repetitive code.
119400	126440	That's what I'm going to discuss here. The three pillars of function utility is what we want to see.
126520	134280	So these three kind of behavior or these three kind of pattern will help you figure out whether you
134280	139400	should write a function for this particular piece of code or not. So the very first thing is no
139400	146280	reusability. So you write a function only once and then you can use it everywhere. So if you feel
146280	153080	that let's say a sequence of instructions which you have written for your current program can be
153720	159160	used at other places also maybe to solve some other problem in some other context.
159880	166920	Then and if you think this will repeat multiple times then it's a good idea to abstract out that
166920	177240	four line or five line of code into a separate function that you can call at any point and then
177240	183480	use it rather than writing those four line of code everywhere whenever it appears. So this is
183480	190440	very first sign when you would probably know that this is the best time to write a function instead
190440	195400	of writing this four line of instructions for not achieving this particular objective.
196360	203480	So reusability is the very first pillar or first observation that you can make when you know
203480	212360	that you now need to write a function. So the main idea is that you write no only once and use
212360	218360	it everywhere. So when you find yourself copying and pasting the same logic in multiple places
219240	225320	you have identified a perfect candidate for a function. So this is what we want to say
225320	231800	and function can in encapsulate common operations along you to debug and test them no ones
231800	236440	then deploy them anywhere. So this is also an advantage right if you isolate this four piece of
236440	243240	code at one place in in form of function you can maybe put all your effort to write it correctly
243240	248600	only once and then whenever you deploy it knowing any context and you can safely rely that these
248600	255880	four line of code actually does the job that it is intended to do. So this is not only
256280	263160	development time but also ensures somehow consistency right if you need to fix a bug or improve the
263160	268840	logic you only have to do it in one place. Later on if you find figure out let's say that this
268840	277080	four piece of you know four line of code can be improved and maybe made more can we make can we
277080	282440	made more efficient. So what you need to do is to just know look at that function and just
282440	289080	improve its no performance instead of you know going to every place where you have maybe return
289080	294520	the function or this four line of code and replacing those four line of code not each of these
294520	301480	places okay. So this is you know one example and here you can see I have given some you know
303000	309240	examples I mean like I mean if you want to let's calculate the area of room. So you can one
309400	314920	thing I mean you can do is you can always let's say you know multiplies no dimension and then
314920	320120	get the area for example if you want to no calculate area of room one followed by room two
320120	324600	then room three. So you can write down this kind of code this is perfectly you know all right I
324600	330600	mean it will give you the desired result but then this is not the most or it's not the best way
330600	337480	to do this kind of job rather than it I mean we can maybe define some function which actually
337480	342280	calculates the area and you just pass the argument to the function and get the final result.
342280	349320	So area may be you know very simple you know very primitive simple example which might not highlight
349320	356760	the essence of what I wanted to say but you know I hope you get the point that I mean if you have
356760	362680	a come even complicated no piece of what let's say multiple line of code which you think can be
362680	369320	used at multiple places it's best to you know write down them in form of a function and then use
369320	375240	call function at all those places where you know these things are needed okay. So some other
375240	379720	example like material cost or printing cost if you want to calculate always and it's better to write
379720	385400	down functions instead of you know doing those things look at you can write down these no sequence
385400	391960	of instructions to perform them again and again here although I mean there's no one instruction
391960	397000	computes what you desire so it may may not be the best you know candidate for function but then
397000	403320	I mean in general we want or we would like to convert our no code structure in this form of a
403320	409880	modular structure where mostly we use functions no for whatever task we want to get it done okay.
409880	417400	So this is the first no thing that comes I mean this is the first kind of no pattern that appears
417400	424920	when we feel that we should write function okay. The second kind of thing is the complexity of the
424920	432440	problem if the problem that you're solving is very let's say complex okay and you can solve that
432440	440040	problem by writing you know a large piece of code but then that's not a good idea right because
440280	447880	thinking about the whole logic in one go may be very difficult right and in computer science this
447880	455640	is a very common practice that when you encounter difficult problem normally we used this concept
455640	461080	of divide and conquer right we try to think I mean what if I can solve you know multiple simple
461080	467240	problems can I combine in some way the solution of those simple problems to solve my bigger problem.
467240	476200	So this is no called divide and conquer and I would know argue that the success of computer science
476200	481880	heavily realized on these kind of principles where you can think decompose the main problem into
481880	488600	you know simpler problem and try to solve those simpler problem first and then combine the solutions
488600	494040	of those simpler problem in a meaningful way to get the solution of no the bigger problem.
494040	498600	Remember this is not you know thumb roll or this is not something that will work all the time I
498600	504440	mean your your problems should have that kind of property so that you can decompose it you know
505640	510680	in smaller problem and it's not always possible but whenever it is possible I mean the suggestion is
510680	515880	you better decompose the problem into smaller problem and then try to solve those smaller problem
515880	520840	and then combine the solution to get the solution for the bigger problem and when you do this
521800	526600	you are essentially actually writing down again no simple functions to solve like study simple
526600	532600	problems so when you have all these functions ready which solves these you know various simple
532600	538120	problems what you can do is you can know call those functions one after another or you know combine
538120	544520	them in a meaningful way to get the solution of a bigger problem okay so this is very you know
544520	549800	useful technique that we again I mean always use in computer science complex problem becomes
549800	555880	very you know unmanageable I mean when you don't break it so it's better to break them you know in a
555880	565160	smaller you know focused pieces right which you can put your all energy to solve them right I mean
565160	570120	if you have multiple smaller problem and you're solving them one at a time you can devote all your
570120	575160	attention and energy into that smaller piece of you know writing in that smaller piece of code
575160	580280	and getting it correct now each function should have a single clear responsibility so when we
580280	584920	when we divide you know this problem into smaller problem we we know for sure that you know this
584920	590280	particular smaller problem will be solved by this function because it it somehow aligns with the
590280	595800	you know intention of the problem okay with the every no module or every every function that you
595800	603320	write has a very clear responsibility this approach makes code easier to understand also man you
603320	610200	can again I mean test them independently and also maintain it properly right so so all these you know
611160	617240	you know important feature of software development like you know testing or maintainability becomes
617240	621880	far more easier when you decompose the bigger problem into smaller problem and try to solve them
621880	626680	think of it like you know organizing a large project into a specialized teams where each team
626760	632920	you know handles one aspect of the problem okay so this you know conquer complexity through division is
632920	639640	a very you know useful tool it you know you can replace tangled you know monolithic dependency with
639640	648440	clean focused module that each you know will solve a specific part of the problem okay and when
648440	655160	you decompose things then at that moment of time it's very you know important to keep in mind that
655240	660280	how these you know different functions will interact with each other so they they should have
660280	664840	you know very clear established interface or you know boundary so you have to create stable
664840	670920	interfaces between components or to minimize coupling and maximize cohesion so so that I mean
670920	677320	they can be used you know the result of one can be used very easily by others so this is also what
677320	683800	you need to you know define properly so when you define the subproblems properly it becomes natural
683800	688600	to you know define these boundaries very clearly for the function that you know tries to solve those
688600	694600	subproblem okay another advantage know that you automatically get is that you can enable pedal
694600	700680	development right when you have isolated all these smaller problems now you can put you know multiple
700680	705480	teams to work simultaneously on these different you know modules are the different no problem that
705480	711080	you want to solve without you know integration complex so let's say I mean if you could divide
711080	717000	successfully and if you could establish this you know clear boundaries and you know interfaces
717000	723160	that will help them talk to each other without knowing the details of how the implementation has been
723160	730520	done then you can actually you know give these tasks to multiple teams and ask them to work simultaneously
730520	736200	on different models without no bothering about what will happen when I integrate the whole thing
736840	742920	into a single or enough project so so this again I mean that they're what I mean trying to use or
742920	752200	know making up you know having a practice of using functions as often as possible is or will also
752200	756440	reduce your time of development right because you can actually really get different tasks for
756440	764440	different people and what I said in the very beginning that you you can actually modify only
764440	771320	this piece of code and reuse it at multiple places is also an advantage that you can modify the
771320	776840	place or a scale individual component without destabilizing the entire system right in future if you
776840	782520	feel that you know some of the component my you know can be let's say improved for efficiency or
782520	788680	reliability or whatever you can actually safely do that without you know hindering the other
788680	794200	component right so this is this is what we are calling here you know evolutionary design you know
794200	799720	it supports actually evolutionary design where you figure out no at all at rest is that something
