start	end	text
0	15840	Hello and welcome back to Python Core and Applied Concepts for a level data sense workflow.
15840	24320	In the last video we started the discussion about functions, we saw how to know or went
24320	32560	to write functions. I mean we discuss about the scenarios or situations where we think
32560	39040	that we should write function instead of big monolithic code. So what are those hints
39040	45280	that we get when that kind of situation arises when we are sure that we should instead write
45280	51040	a function instead of writing a big monolithic code. This was in our discussion in the last
51040	59360	class. So let me recap it very quickly. So right we started with the discussion around the
59360	64560	need for a function right. So the three previous that we discussed very briefly was how
64560	70880	the usability if you know want your code to be reused again and again by yourself as well as
70880	77040	third party then you should most probably write function and not flat codes. So this was our first
77040	83280	point. Then we talked about decomposition aspects of you know writing function also.
83840	90720	When your task is very difficult or big if you want to solve some you know complex problem
91760	97040	which if you don't decompose into smaller problems becomes really hard to tackle at once.
97040	101280	So that's also a good sign that you should think about functions. You should think about
101760	109360	subproblems as well as solving those subproblems using functions. Then the third point was abstraction
109360	116480	right. The function helps you abstract with the detail of how you implement it. So someone who
116480	121920	wants to use your function need not know all the detail of your function but can work with your
121920	127120	function by you know ingest the interface or the no contract of your function or signature of
127120	131840	your function which looks just like this. So with the proper description of function in
131840	138320	natural language you can you know make other people use your function efficiently without any
138320	144480	problem. This was the abstract view or logical view of the function that again motivates us to
144480	150240	write function in many places where we want other to use our code without being you know bothered
150240	154160	about how the code is actually implemented or how the function is actually implemented.
154960	159840	So we discuss it then we also discuss about the basic syntax and semantics of function
160480	166080	which included how to write functions whatever different you know component of defining a function
166080	172320	like you have a depth and definitely a name for the function followed by body and then there
172320	177760	must be a no return which returns the value that you want this function to detect. This was
178320	186160	no very briefly that we talked about function syntax in the last part then we also said that
186160	191600	this is only the syntax the actual semantics comes when you you know call this function so this
191600	197360	is just definition so when you define things these things are not calculated but when you want to
197360	202960	use this function you call these functions with their name and by passing the actual value for
203040	209440	this parameter which we called no argument to this function to get it to get that is else no
209440	214640	evaluated okay so that that's what we say you know calling the function and we have seen two very
214640	220800	popular you know ways of calling a function by passing arguments one was this positive
220800	227760	positional argument concept where you don't need to explicitly tell what are the arguments that
227760	232400	you are passing I mean you don't need to name the argument but you can just pass the values but
232400	238160	in that case you need to maintain the order in which the function actually defines the parameter
238160	244080	when you pass this argument to the parameter okay so this was no positional way where you can
244080	250480	actually avoid no giving this names of parameter like length width and no color in this case
250480	257120	but you can simply call this function by passing the value to this parameter but you have to maintain
257200	262000	the order in which you know you pass this thing so this is what we discussed in the other cases
262000	270240	when your function may have lot of let's say parameter or arguments defined then you may not
270240	275840	recall the order exact order in which these parameters were defined so in those cases we can
275840	282560	also name the parameters and then pass the value explicitly by saying what these values correspond
282640	287680	or which parameter these values correspond to okay so that is most of the time you know very
287680	295360	convenient for us and we use this in case of any confusion and then there are you know otherwise
295360	301200	where you can mix both positional and keyword arguments together but here when you mix them you
301200	307280	have to no keep in mind that you can only use positional arguments in the beginning and once you
307280	313520	have used any you know keyword argument then from then onward you cannot use positional
313520	318480	arguments so this is one restriction that we have to you know follow when we try to mix them
319120	325920	so depending upon what is your you know what what is your you know exact condition I mean you
325920	332720	can use any of these three way of passing values to function parameters so you know just practice
332720	338160	some no more solving some more problems small problems where functions are naturally
338880	345760	you know more desirable so and try to use these three types of you know argument passing to
345760	351680	you know be confident about using them okay so now we'll continue our discussion and we will talk
351680	358720	about the nature of arguments that we pass to function okay so normally you pass some data
358800	365520	you know as a no argument to the function parameter and those think can be mutable as well as
365520	372480	immutable right we have you know seen that now there are data types like number strings and
372480	378080	tuples which are immutable data types no one use once you define them I mean you cannot change
378080	384320	them so this is what we know mean by immutable so you know you cannot so it cannot be changed
384320	391600	after creation and when functions receives this kind of immutable not types they are essentially
391600	398160	receiving a copy right and you cannot change the original thing by changing that copy so so the
398160	405520	problem that so why we are discussing this is because of you know the side effect that function might
405520	411040	have so when we say side effect we want to know whether the argument that we want we are passing
411040	417040	to the function is the function actually changing those argument or not okay or is it simply you
417040	421840	know using the value of those you know argument which you pass as maybe variable to the function
421840	428160	so this is a very important point to keep in mind when you're writing a function or using a
428160	433760	function which is written by someone else so you want to be sure what are the effects of the
433760	439120	function is does it only return me the result value or it also changes some other variable you
440080	447200	and these things would be very you know explicit okay but in most of the cases you know by the
447200	451920	nature of the argument you can actually guess whether these things will be changed or not so for
451920	457200	example if the arguments are immutable not data types then they will not be changed but then
457200	463680	when arguments are immutable data types for example list dictionary or set in those cases you should
463680	469440	be very careful I mean if you want it not to be changed then you better pass a deep no copy kind
469440	476640	of thing you pass a copy of the actual you know data rather than the whole data itself okay so just
476640	482000	to highlight this I mean I will give you two short examples one for immutable data types and one
482000	486480	for immutable data types and we will be able to see what is the difference you know in the context
486480	493120	of these exact examples so let me write down the very you know first example which
495120	500960	is about immutable data types so for example let's say you want to update you know a score
501600	507120	by some you know margin let's say which we call bonus okay so we can define a small you know
507200	514400	function like this which is let's say definition is no update on maybe score
516160	519520	and then you you pass the original score
523520	530720	and then this bonus bonus is the amount by which I want to update this score so so the implementation
530800	538080	what I do is you know my actual implementation is let's say a score is score
539920	548560	plus okay so the important thing that I want to highlight here is that no see I mean we we are
548560	553680	changing you know one of the argument which is a score right the very first argument which you
553680	560880	pass to this function we are inside the function we are trying to change that you know value
560880	567200	right score to score plus bonus okay so now we want to you know know what is the effect of this
567200	572800	to the let's the original value which has been no pass to us okay so this score you know make
572800	578880	come as a you know variable name to us I mean to this function when it is called so we would like
579040	584960	to analyze and see whether changing it inside the function will actually change the original value
584960	592480	or not so this is no our intention so this this is what the our function does and then let's say
592480	606720	what we return is value score okay now we would like to see what is the effect of this function so
606720	611600	let me you know so this is just the definition of the function so to see the effect we need to
611600	621840	you know call this function so let me call this function and let's say initialize some variable
621840	629680	where we store some initial let's score so this variable original score has some no original score
629680	635680	which you would like to pass this update score function and then update this okay so now
636880	642880	if let's I want to call this function okay and get let's say the new score that I
647200	653360	no one to obtain by updating the current score is is what we call new score here and then we
656160	663200	update the score using update score function and here what I'm passing is this in original
663840	670960	okay so what in just no copy this so the very first argument is original score and then let's say
670960	678160	I mean we want to you know in case it by value 20 okay so I hope you understand the no meaning of
678160	682800	this instruction so what we are doing is we we just defined a function which we called update
682800	688640	score and now we are calling update score with this you know original score value that I have just
688720	694080	no initialize right original score is no hundred so I pass this original score to this one
694080	698960	and then the value by which I want to update it is the second argument right this bonus is this
698960	704240	20 so when I call this function this will certainly return some value right and what is the written
704240	711280	value is the new score that it no calculates and that value I have stored in the new score thing
711280	717840	okay now if we want to let's say no try if you want to see you know what happens to the
718400	724480	the original score that we have defined here after let's say you execute this statement because
724480	730320	no executing you know this statement means calling this function once right this is what we are doing
730320	736000	we are making a call to the function and when you make a call to the function and when you have
736000	743520	passed some arguments I want to see after the call has you know executed successfully what will
743520	748320	happen to the argument value and what is this argument value that we are interested right now
748880	757200	original score okay so to do that I mean what we need to do can we print the value of this
757200	771360	original score so let me uh what we can do is we can say here print let's say
771520	785920	original score maybe you know before function call okay
786240	794720	okay and then I know if I just print what is
801120	808480	score here so we know so what is this original score before no function call and if I want to do
808480	815120	know the same thing uh after the original score has been so let me you know print copy paste the
815120	831520	same thing and I want to see what happened to this original score so after function execution
831520	839200	maybe okay after the function execution if you want to see again now what is my original
839280	845680	score you know this will print okay and we would also like to let's just see the what is the value
845680	851760	of the new score okay so let me you know print that also so
856480	862080	what is our new score after function execution so that value should come in
862240	875360	new score okay so so let me so so the value that it returns in this you know so remember I
875360	880480	mean the new score will have value of this score right which is no calculated here inside this
