start	end	text
0	13240	Hello and welcome back to Python, Core and Applied Concept for Reliable Data Sence Workflow.
13240	19640	Today we will continue our discussion of Functions from nowhere we left in the last class.
19640	27480	So if you recall, in the last class, our main topic of discussion was default arguments,
27480	33480	or Functions. So sometimes we may not or I mean user may not want to call the function by
33480	39960	explicitly giving you all the values of the function parameters. So some of the function
39960	47280	parameters, most of the time may expect the same value. So in those kind of situation
47280	53640	where Functions can be called, you know, using your argument, it's good to make some of
53640	61560	the argument as default argument. So the nice thing about default argument is that it's not
61560	67140	that you cannot provide value for those default arguments, but it gives you this additional
67140	74400	flexibility of not providing that value every time. Okay. So if you don't provide that value,
74400	82680	know, at some function call, then by default function, this no function call is free to assume
82760	88760	some default value for that kind of parameter, which we call default parameter. So we talked
88760	95480	about this. We saw some of the advantages of using this default argument like this flexibility,
95480	100600	that one, you know, that we talked about, that function can be called with your argument,
100600	110520	then readability. I mean, if your function, you know, call, let's say, includes fewer arguments,
110600	116120	of course, I mean, it's far more, you know, readable, right? Your code does not every time has
116120	121000	all these no extra information, which may be, you know, guessed by default in most of the cases.
121000	128360	Okay. So at multiple places, your function call may look much simpler than what it could be,
128360	133320	if you have, if you are, let's say, first to pass every argument, every, you know, other time,
133400	140600	when you call the function, okay? And so, so this is the reason that we discussed, I mean,
140600	147000	we use these default arguments. And one reason was this backward compatibility also, right? And for
147000	153960	this, I took some, you know, example and showed that how this, you know, backward compatibility can
153960	159080	be an issue. So when you have written a function, which has already been, let's say, used in
160040	165720	many applications of many other, let's say, developer. And now you want to, you know,
165720	171320	make your function more efficient, or maybe you want to add some new feature to your function,
172760	177720	you know, which maybe, you know, in terms of some new argument passing, some new argument,
177720	184040	then how to maintain the, you know, already developed code, which was developed based on your
184120	189400	function, not to, no break. I mean, how to, you know, prevent breaking those, you know, existing code,
192280	197000	in the presence of the update or upgrade you want to do for your own code. So this was
197640	203480	what we call backward compatibility. We don't want the existing code to break when you upgrade
203480	209800	your code using some, or adding some new feature by introducing some new parameter. So in that case,
209800	215320	also default arguments were very, you know, nice way to deal with. And we, we saw one example,
215320	222120	also it, this process dot example, where we explicitly talked about what was the problem.
222120	228200	And what will happen if you don't have this feature of default argument, and if you just
228200	234440	increase argument while one, all, you know, future called to the function in the existing software,
234760	240280	actually break. But if you put it as a default argument, then even those functions will, you know,
240280	246920	work as, it is those, for example, will also work as my expected. Yes, this was our discussion
246920	254440	in the last class. So let's continue our discussion of, you know, default argument for,
255160	261400	for a little while, and then we will go to the next topic. So we know why this is important,
261400	268440	right? In the real project, and we also learned about how to use it. But, you know, there may be some
268440	273320	confusion while using default argument, if you don't know the exact semantics of how these
273320	280360	default arguments know work in Python, okay? So it's important to know the exact nature of this
280360	286360	default argument. And it is a little bit different than, you know, other kind of, you know,
286360	291400	function definition and function call. So as I said, I mean, in the beginning that when you define
291400	296920	a function, you're just defining the syntax, right? And when you call that function, then the
296920	304440	semantics come into picture because at that moment, the function, you know, gets executed or
304440	310520	the execution of the function is start, okay? So you define function only once, and then you call
310600	316040	that function at multiple places, right? So in that sense, I mean, you're again, and again,
316040	320680	trying to, you know, invoke that function and execute the same code that you have written earlier
320680	325800	at, let's say, one separate place or, you know, in a separate fight. So with the default argument,
