start	end	text
0	14960	Hello and welcome back to Python Core and Applied Concept for Reliable Data Sence Workflow.
14960	23240	So in the last video we concluded our discussion of functions and today we will now begin
23240	28080	the discussion of an important data structure in Python which is called Dixnary.
28640	32400	Okay, so let me begin the discussion of Dixnary.
32400	40480	We just like list Dixnary is no other data structure which is very popular in Python
40480	46160	and the closest that you can relate it to is something called structure in C.
46160	52480	Although I mean it's not good to relate data structure into programming languages
52480	57280	and you can never have no one to one kind of correspondence between data structure
57280	61680	depending on different programming language. But if you're coming from a C background
61680	69200	you may find it you know easy to relate it to structures but no let me you know discuss this
69200	74160	from very you know scratch I mean even if you don't know about the structure don't worry.
74160	81280	So Dixnary in Python is a data structure that stores data as key value pair.
81440	89280	Okay now in the list if you remember we could store multiple data entries in the single list
89280	96000	right and the way to access those entries in the list was using indices right one two three
96000	104800	zero one two three. So by default I can access any entry in the list using its corresponding index
104880	112160	so that was a you know a way to access elements in a list but Dixnary provides you a more
112960	120480	explicit you know sometimes very you know helpful way of accessing element while other key
120480	126000	okay so keys are like you know names for those values that you can store in a Dixnary okay
126000	131280	so it is all the advantages of you know list and on top of now you know unlike you know
131440	137760	numerical indices Dixnary use meaningful keys to organize and access data so this is a core
137760	144240	of Dixnary so you have both key and value pair so you can give meaningful name in in in
144240	150400	in in form of keys and for those meaningful names you can actually assign values which
150400	155040	which are called actual values okay so that's why we call key value pair so there may be multiple
155040	161760	key value pair in the you know same Dixnary just like you know list you can have multiple values
161760	169120	you know kept at different indices here you may have multiple values you know kept using or
169120	174880	you know kept using this key values okay so if you want to access later you can use this key value
174880	183200	so let's talk about syntax and semantics of Dixnary by creating through very you know elementary
184160	190160	so to begin with now if you want to let's say create a empty you know so let's learn about
190160	196720	the syntax by using these small examples okay and semantics as well so if you want to let's say
196720	205280	create a empty list in Python so let me call this list empty you know sorry the Dixnary
205520	214640	if I want to you know create an empty Dixnary then no this is the syntax that I normally prefer okay
214640	220320	so you can you know simply start a curly brace and in it and this represents a you know Dixnary
220320	225840	I mean if you write something like this it means that you have created an empty Dixnary and the
225840	230880	name that you have assigned is empty Dix you could have chosen any other name here instead of
230880	238400	no empty Dix but I'm just keeping this name not as an informative you know name so that we can
238960	247680	know what we can alternatively also you know create this you know empty list by calling
248880	254560	for this you know Dixnary constructor so no Python has a Dixnary constructor which let me
255520	265920	create another empty Dixnary Dixnary and let's call it something different no this is an
265920	274720	alternative way of creating a predixnary and you can call this method okay so the semantics of
274720	283200	both these syntax are same either you write this way or you write no this way in both the cases
283200	289600	you are actually creating a no empty Dixnary okay so this this you know constructor dict
291520	296000	actually creates empty Dixnary you know if you pass no values here I mean it will create
297040	303200	some Dixnary with initial values okay so this is the no way to create you know empty Dixnary
303200	308240	in Python for example what if I let's say print
312880	313840	let me print both
316480	322160	empty Dix here what shall I expect when I print this
323760	328480	what you see I expect empty Dixnary because this is what was here
328560	334400	from what if in the other case if I print let me print the
337200	343440	this alternative way of creating empty Dixnary if I have empty Dixnary alternative
343440	349520	than if I again print it you see again you have the same empty list okay so all the I mean
349520	355920	these two look different from the syntax point of view the semantics is same okay so we can
356000	362320	get the same effect of creating empty list what if you want to create a list with some initial value
362320	370240	let's so let me you know create you know sorry create a Dixnary with which contains no information
370240	380800	about students okay so let's call it student Dixnary and then so the way to create
381280	387920	again so if I wanted to empty Dixnary this this is this was not enough but if I want some values
387920	395120	to be stored in this Dixnary from the beginning I can also initialize them the first thing so
395120	403840	you're normally when we know right key we use strings as key values okay so that's most
403840	410160	no convenient and no natural way to use no key values so here what I say is I
410240	416320	not write down my first key is the name of this student okay this indicates that now I'm talking
416320	420480	about the name of this student and let's say I have one student in my class
423360	428480	heartic okay so heartics it also be my string because this is the name
430480	437280	and if I talk about the age so let's know put some again I mean the age can be here the key
437360	442960	can be the strings so key can be in a more general thing key can be any you know immutable
444240	450880	no data types but here I mean we are using simple strings to refer to some meaningful you know
450880	457440	values which we want to hit by these keys okay so the age actually represents the age and let's
458000	467040	call the age is not 20 and then let me put some also great corresponding to this is student
468800	477840	so the way to do this is we create another key which is called great and we assign some value
477840	487200	corresponding to this key let's assign the grade A and finally let me have the courses that
487440	495760	this student has taken already okay courses maybe another key that this student has taken and then
497120	501120	in the courses I may have no multiple courses so no more convenient ways I mean I create a
501120	508320	list which stores all the courses that he has let's take it so in this case let me say that he
508320	519920	is taking math course and he has also taken some science courses okay so this is how we can
519920	528320	actually create a no list which is not empty okay so this is student list okay which has
528320	535360	interest of one of the student I mean no okay so let me know what happens if I print this
536000	541200	okay to see whether this has been created properly or not we can just print this
545520	550960	and see what happens so when I print this dictionary that we created just now you can see
551840	559200	all these you know key value pair appear right so the name is hard the age is 20 great this one
559200	563600	and courses that he has taken is this one okay so remember in this case no you have
564400	570320	in the courses here you have a mutable data types right this is the list itself so the value
570320	577200	is mutable so later on if you want you can actually add some more courses to this list okay so this
577200	585440	is how we can initialize our dictionary with some initial values sheet of no always initializing
586400	594240	as a empty again I mean using our dict constructed you could do the same thing I mean let's say
594240	602240	I mean instead of this if I want to now define the teacher one of the teacher of the class then
604080	610320	using the alternate method so I what I call is I call this no dict constructed and then
