start	end	text
0	13700	Okay, welcome back to this BST and No Recursive Function session that we started in the last
13700	14700	video.
14700	23260	So if you recall in the last video we talked about how to insert elements in a BST, no
23260	24260	one at a time, right?
24260	31740	If you remember these were the elements that we inserted in the BST in this order and
31740	39900	we noted that if you start with 10, the 10 becomes your root of the BST and then following
39900	47820	the sequence we kept on inserting one element at a time while preserving all the BST property
47820	53600	right and there were two sensual property that we wanted to ensure one was structural
53600	59680	property that at no time your tree should have more than any node in your tree should
59680	67240	have more than two elements or two two childrens and then the other property which was concerning
67240	72760	the values that you can put at a parent or child was that you know every child or you
72760	79000	know everything that comes in the right you know subtree of a parent should be greater
79000	84080	than the parent value and everything that comes on the left subtree should be less than
84080	85080	on this.
85080	89320	So this was the property that you mentioned in the very beginning.
89320	94960	This is a standard BST property that should be true for any BST, okay?
94960	100040	So if you are claiming that you are trying to maintain a BST while this insert or delete
100040	106320	operation happens on your rata structure then you have to somehow make sure or give proof
106320	112080	of correctness why this is maintained through every insert or not releasing and that's
112080	116160	what we try to do at least for the insertion in the last video right.
116160	121680	So all nodes in the left subtree should have values less than the nodes value was the first
121680	127160	property and in all node in its right subtree have the value no greater than the nodes value
127160	130920	both left and right subtree must also satisfy the BST property, okay?
131720	136880	So it's not that I mean this property should be only true for the topmost or let's say root
136880	137880	node.
137880	143880	I mean all the nodes should have this property and that's how you know I mean and if this
143880	148000	is true for every node in your tree then you can call it a BST, okay?
148000	153640	And we saw some examples then we started you know creating a BST from scratch in the
153640	160040	last video where we try to create you know BST when the elements were coming in this order
160040	168440	where you first saw 10, 10, 50, 37, 10, 20, 20, and 40, we justified and first we looked
168440	174000	at the overall workflow that we would most probably want to implement later on in Python
174000	180480	but then the important point was that throughout this no workflow or adding or inserting different
180480	186440	elements in this existing BST we try to maintain the BST property right?
186440	191880	That's why I said that now whenever you add a node you immediately add no two children
191880	197640	to it so that you remember that you cannot have no more than two children and none represents
197640	203280	that there is nothing you know present at the present moment in the tree at this particular
203280	210760	position and you follow whatever was the property and then you can find a logical way to insert
210760	215240	it either in the left subtree or right subtree or the root node, okay?
215240	220560	And you keep going down until you find the suitable place to insert it and then this was
220560	228360	our discussion so you know so at the end of all this insertion where we wanted to insert
228360	234280	all these elements into a BST what we get is something like this right? So this was our
234280	242280	final tree that came as an output after having all those inserts and in the sequence that
242280	252040	were not given to us. So let's say I mean somehow if you have you know if you implement the BST
252040	259240	insert method and want to do it not by hand but want to call program to insert let's say these
259240	265080	elements one after another so at the end what should you expect you should expect a tree like
265080	271800	this right? And I also hinted in the very beginning that no we can represent these trees using
272040	278920	dictionary right? So the final dictionary that you know represent this tree should look something
278920	285560	like this I mean so I want to go through this code slowly to see whether it makes sense or not.
285560	292600	Does this dictionary represent the same tree that we formed here? Okay so let me help you with
292600	299000	some of the nodes and then I'll leave the other for you to explore in your free time so what
299000	303480	was the root tree so let's say I mean this tree is a dictionary so this is how we represent a
303480	310520	dictionary you know if you recall I mean we identify dictionary with some name let's say call here
310520	316600	this dictionary to be tree because you know our intention is to somehow represent this whole tree
316600	322040	using our dictionary so we give it a name as tree and then we start the curly braces and
322120	328360	in curly braces here okay and in our tree essentially what you are trying to you know store I mean
328360	336200	at the end what should be there I mean your left subtree is none right and then your right subtree
337000	343080	is a big tree right you know which which if you want you know a tree to be represented as
343080	347720	dictionary then the right subtree itself is a dictionary so this is how you should interpret it
347720	357080	and the value at the root node is 10 so this is what this tree you know dictionary is trying to
357080	364920	no capture the value is 10 so this value represents the value of the node and then since you know
364920	371080	this this is the root node you know this tree actually represents the root node of this whole tree
371640	377640	so for every you know root node you have you know three things right we said or I mean for any
377640	382840	node you have three you know information that you want to store so what is the value present there
382840	387800	what is the left subtree that is present there and what is the right subtree that is present there
387800	392760	so that's why this tree feels you know these three keys are there in this dictionary and the
392760	400680	values corresponding to these three keys will be what I discussed right the first one represents
401240	408120	the value or key represents what's the actual value you know kept at that node the left key
408120	415480	represents what is the left subtree and the right key represents what is the right subtree and you
415480	421400	could see on the you know for left we have kept none right because no we wanted to capture this
421400	427560	particularly so here you can see left is not so now we keep keep it here is not but what about
428120	433720	can you see a curly brace no starting here right you can see a curly brace starts here
434600	441640	and from this point onward to this point you know inside there is no curly braces what
441640	447160	we do is we represent another tree because remember when we are talking about this may you know
447160	454760	main you know root node here which is 10 it's right style is not you know one node right it's a
454760	463560	complete you know BST itself right it's another you know smaller BST so if if you represent this
463560	471320	BST using dictionary then no at the right no of key no corresponding to the right key the value
471320	480040	that you will have will actually be a dictionary right and I mean you can just follow this recursive
480120	486360	nature of this dictionary and then guess know what what should be the let's say root node of the
486360	493240	right subtree this is the right subtree right which appears at the right hand side of
493240	500120	or not as a right child of the node 10 and 10 was a you know root node for our main let's say
500120	508120	tree the bigger tree but for this you know right as a right child you again have a dictionary
509080	515880	or a tree BST which we want to represent with DST you know BST so what is the root node of this
515880	523000	no BST what is the value kept at this root node so this is what is what how you know we represent it
523000	531640	the value kept is 50 and again this no right subtree will have no value as well as left subtree
531640	536600	and right subtree of this you know current right subtree that we are looking at okay so again
536600	542760	I mean left hand side is a tree BST is expected to be a BST and right hand side is also expected
542760	550680	to be a BST so that's why you know we kept here you can see I mean for this no smaller right subtree
550680	558920	which start from here and goes up to no this place okay so we have left key which no
558920	565480	represents a complete tree right which which which is encoded up to this point and also a right key
568120	573000	corresponding to which you again have a dictionary which represents the right subtree of this one
573000	579080	okay and you know I'll leave you for you to look at it a little carefully and you know
579080	585400	convince yourself that this is indeed what this no figure represents okay and this is important
585400	590280	because you know say because you know when you will be writing Python program to insert elements
590280	596440	I mean we will be following no this kind of representation for a BST okay so we want to
596440	603720	represent this BST using a binary such a there so this you know binary such is using dictionary
603720	608200	and if you use dictionary and this is the you know most natural way to encode this information
608680	620360	okay now knowing that our current tree is always you know always looks like this I want to now
621000	628280	know right a function which will help me insert a new element let's say you know in existing tree
629960	635320	so before than that I mean before going to the madat mean function I've already written here
635480	640920	you know helper function for you to just see what is the status of the tree right now okay because
640920	648200	here it was difficult right to see this you know clumsy you know code block corresponding to a
648200	652840	dictionary and figure out what was the left and right thing the ideal situation of scenario might
652840	658840	be some displaying this dictionary in this you know form but then I mean this is also not that
658840	663720	easy because of the nature of tree how it grows right you know you have to represent it in
664280	669960	the window that is available to you so what we instead do is you know we try to represent the
669960	676120	same tree using this kind of no notation where the root is 10 and the left I mean this again the
676120	684520	same so you go through this you know function offline and try to see how it when and given
684520	690840	given any root node for a dictionary can print the dictionary for you okay so this is an alternate
690840	698040	way to you know print the same no tree which is which looks like this okay so I'm not going to
698040	703400	discuss this function right now I leave it for you to no figure out how this function can take any
703400	709080	tree of not this kind which is given as dictionary and you print something like this
710040	716120	here where you can see no root node is 10 the left child is none right child is itself of you
716200	721240	know bigger tree again you know from this point onward to this point and then right child of this
721240	727800	is again a tree like this okay so this is certainly now simpler to you know visualize
729720	736200	then this other than you know this particular code which is a complete description of the
737240	742920	BST in using dictionary so we'll be using you know calling this function and again and again when we
743480	749400	let's insert something you know in a dictionary or no we remove something from it is dictionary okay
750120	756760	so now let's come to the actual function which we want to not develop right now so what we
756760	763560	want to do is we want to know so whatever we discuss in the previous video like I mean how to
763560	771960	insert a given element into an existing BST so that after insertion the BST remains the BST
772040	778120	because the new tree that you get is also BST so that whole logic of inserts and we want to now
779000	788520	encode using a Python program is what we are trying to do right now okay so for such a function
788520	793320	I mean can you guess what should be the argument for such such a function I mean BST insert function
794040	799720	so you need to think right at the existing tree BST and the new value that you want to insert
799720	806040	into it okay so these are the you know two information that you know would like to pass to the
809400	816440	okay to this no BST insert so while we are passing root no because root itself is a dictionary right
816440	824600	remember I mean the root node is a dictionary which has all the information about the BST okay
824600	829480	so that's why it's not enough to just pass the root node because root node itself you know is a
829480	835720	dictionary and that dictionary has information about all other element right left child right child
835720	842840	and all the following left and right child of those no trees subject so it's good to pass root
843800	848760	and the value that you want to insert to this you know BST insert function
849560	856600	now let's try to you know develop this function so once let's say if we have this this information
856600	866600	with us if it is you know given to us the root node and the value so the very thing and the first
866600	872200	thing that we do is we we check the you know base guess kind of thing right I mean let's say what if
872440	880280	your root itself is none okay that that may be true right because in the very beginning when you
880280	888520	start no building that no BST there may not be any element at all okay and a good way to
889160	894440	no represent that would be that you know you assign this root value which is not
894920	902920	okay so so that may be so the base guess I mean and you need to know how to handle this
902920	908200	base guess right because even when you are you know inserting elements you remember I mean we
908200	914840	were going down either left subtree or right subtree and the moment you want to this you know
915720	918760	take this call whether I sell insert at this position or not was
919000	925720	somehow decided based on whether none is present there or not okay so if none is present then only
925720	932040	you can you know insert you know something so that's why I mean the very so the base case is what
932040	941080	we we need to solve first so let me so what we are trying to do is now define the base case
941800	949400	so I mean this will be a row if you remember see this this whole function structure would be
949400	955640	recursive in nature because not any moment in time when you are comparing it with the root node
955640	962040	or the root node of the subtree that you are currently looking at you want to say whether it's
962040	967080	the element should go to the right subtree or the left subtree right so you may want to again call
967160	972360	the same function with a different argument I mean your value will be same but you know a root
972360	979960	will change right and you will keep doing it until you hit the base no no case and the best
979960	986120	case is when you see that your root which is right now your point where pointing to is actually
986120	990360	not right remember I mean so this is what happened right in the previous cases when we were discussing
990440	1000840	this one by one the moment I decided that no 30 you know goes to the right of 50 so to the
1001960	1008840	no 30 is goes to the right of 10 and then we compare it with 50 and then we decided to go
1009400	1016360	towards this no left subtree and we immediately encountered this non-value so it indicated that now
1016360	1024280	now we cannot go any no further so the no the root for the left subtree was none right and
1024280	1028280	root for the left subtree was none that's why you know we decided that no we have reached the
1028280	1034520	correct position but now we cannot go down further so if we see that the root of our
1035320	1040920	no going to root of our current dictionary is none and we are we have been asked to put it
1041160	1047000	in this you know the subtree better replace this none with the value that I came up
1048360	1054360	having in my hand for example in this case no 30 was in my hand right and I inserted 30 here
1054360	1059480	and I created left and right child immediately for this 30 okay so this is the action that you need
1059480	1066200	to you know take when you have reached the correct position okay but I mean you have to somehow
1066280	1071000	say this explicitly in your code okay and if you have reached that place and how do you know that
1071000	1078200	you have reached that place by checking whether the root has become none or not so can we you know
1078200	1087640	write down the same logic here maybe where we are writing can we you know write down this
1087640	1095400	base case thing so that this is no kind of base case where we know that we have reached the
1095400	1104840	place where we want to put the value that is provided to us okay now if so what is that
1104840	1120040	base case now if root is none because we are representing with none this this none in a way
1120120	1126840	is representing in our case that no there is nothing you know down in the line if you go want to go
1126840	1138040	ahead okay so in this case what we want to do is we want to return our dictionary okay so what's
1138040	1144920	the dictionary that you want to return now you want to put there this value right so what you want to
1151000	1156120	in the value field I will you know pass whatever value no comes as an argument to me
1156760	1165240	and then I will immediately create you know left and so if you know that your root the root that
1165240	1172280	currently you know is in your hand is none then at that moment itself you have decided that okay
1172280	1178600	I want to know maybe know make a small tree and then return this thing right so the return
1179080	1188760	so you you are returning a small tree where your value is this one and you have to left thing
1188760	1195240	in left we none because you know right now I know that there is nothing you know down say this is
1195240	1202920	the last element that I'm not trying to insert so I should make it in form of a node and this is
1202920	1208280	how I represent a node which does not have any you know child so for that node you have to tell
1208280	1212840	what is the value what is the left child and what is the right child the left child is in none and
1212840	1223640	the right child is also okay so this should also be none right so no this way we created a dictionary
1223640	1229000	and remember I mean this is a dictionary right because I kept it in curly paste so this
1229000	1234200	represents my you know current node that I have inserted and I will just return it okay so this
1234200	1239960	you know function actually you know returns to the updated tree okay but this remember the
1239960	1245800	base case when you know that the root itself is none but it might not be correct right because
1245800	1252680	you know in in so it may be correct only maybe in the very first go when you are starting with the
1254120	1259960	empty let's say BST but in most of the other case when you start your insertion process you
1259960	1264920	already have a not tree and you want to figure out what is the correct position where I shall go
1264920	1274120	and then try to insert it right so most of the other insertors will not you know immediately hit
1274120	1280520	this no base case okay so we will start exploring from the root and you you want to navigate to
1280520	1286600	that place where you want to keep this okay so this is what we call you know recursive step so
1287560	1292440	so let me call it you know one the base case let's just call it one is the base case and then
1293000	1298760	the recursive cases the most no general case where so let me you know call it
